"human","bird","temp","humidity","ramadan","date"
0,0,16.6805555555556,62.025,0,2005-12-18
0,0,14.1984126984127,57.5571428571429,0,2005-12-25
0,0,14.3095238095238,57.7571428571429,0,2006-01-01
0,0,17.5952380952381,63.6714285714286,0,2006-01-08
0,0,12.5555555555556,54.6,0,2006-01-15
0,0,13.2698412698413,55.8857142857143,0,2006-01-22
0,0,14.3650793650794,57.8571428571429,0,2006-01-29
0,0,15.1904761904762,59.3428571428571,0,2006-02-05
0,0,14.5238095238095,58.1428571428571,0,2006-02-12
0,40,14.1984126984127,57.5571428571429,0,2006-02-19
0,10,18.3650793650794,65.0571428571428,0,2006-02-26
0,33,19.3253968253968,66.7857142857143,0,2006-03-05
1,60,16.7936507936508,62.2285714285714,0,2006-03-12
1.5,45.5,17.6111111111111,63.7,0,2006-03-19
0.5,88.5,20.984126984127,69.7714285714286,0,2006-03-26
3,86,18.4206349206349,65.1571428571429,0,2006-04-02
2,33.5,20.1031746031746,68.1857142857143,0,2006-04-09
0,33,21.0476190476191,69.8857142857143,0,2006-04-16
0,22,23.7936507936508,74.8285714285714,0,2006-04-23
0,22,22.9047619047619,73.2285714285714,0,2006-04-30
0.5,1.5,23.8253968253968,74.8857142857143,0,2006-05-07
0.5,3,23.3174603174603,73.9714285714286,0,2006-05-14
0,4,23.358024691358,74.0444444444445,0,2006-05-21
0,5,27.031746031746,80.6571428571429,0,2006-05-28
0,3,27.8809523809524,82.1857142857143,0,2006-06-04
0,3,27.984126984127,82.3714285714286,0,2006-06-11
0,0,26.4206349206349,79.5571428571428,0,2006-06-18
0,2,28.6269841269841,83.5285714285714,0,2006-06-25
0,0,29.7857142857143,85.6142857142857,0,2006-07-02
0,1,28.8571428571429,83.9428571428571,0,2006-07-09
0,0,29.0793650793651,84.3428571428571,0,2006-07-16
0,0,28.5952380952381,83.4714285714286,0,2006-07-23
0,0,29.1349206349206,84.4428571428571,0,2006-07-30
0,0,29.7301587301587,85.5142857142857,0,2006-08-06
0,0,29.3333333333333,84.8,0,2006-08-13
0,0,30.1349206349206,86.2428571428571,0,2006-08-20
0,0,30.9365079365079,87.6857142857143,0,2006-08-27
0,2,28.984126984127,84.1714285714286,0,2006-09-03
0,5,28.5238095238095,83.3428571428571,0,2006-09-10
0,0,28.3571428571429,83.0428571428571,0,2006-09-17
0,0,27.9761904761905,82.3571428571429,1,2006-09-24
0.5,1.5,27.8015873015873,82.0428571428571,1,2006-10-01
0,0,25.8253968253968,78.4857142857143,1,2006-10-08
0,0,26.4920634920635,79.6857142857143,1,2006-10-15
0,2,24.0555555555556,75.3,1,2006-10-22
0,0,22.8333333333333,73.1,0,2006-10-29
0,0,21.4047619047619,70.5285714285714,0,2006-11-05
0,1,18.0952380952381,64.5714285714286,0,2006-11-12
0,3,18.4285714285714,65.1714285714286,0,2006-11-19
0,3,17.8888888888889,64.2,0,2006-11-26
0,1,17.468253968254,63.4428571428571,0,2006-12-03
0,0,16.2619047619048,61.2714285714286,0,2006-12-10
1,4,16.1199294532628,61.015873015873,0,2006-12-17
0.5,2.5,14.9761904761905,58.9571428571429,0,2006-12-24
0.5,6.5,12.1984126984127,53.9571428571429,0,2006-12-31
0,15,12.9285714285714,55.2714285714286,0,2007-01-07
0,12,13.2936507936508,55.9285714285714,0,2007-01-14
0.5,9.5,14.2460317460317,57.6428571428571,0,2007-01-21
0.5,2.5,15.2936507936508,59.5285714285714,0,2007-01-28
0,14,13.7619047619048,56.7714285714286,0,2007-02-04
0,10,13.8253968253968,56.8857142857143,0,2007-02-11
1,4,16.4603174603175,61.6285714285714,0,2007-02-18
1,17,18.1904761904762,64.7428571428571,0,2007-02-25
0,13,16.7698412698413,62.1857142857143,0,2007-03-04
0.5,9.5,18.2777777777778,64.9,0,2007-03-11
0,9,16.3245149911817,61.384126984127,0,2007-03-18
1.5,2.5,19.547619047619,67.1857142857143,0,2007-03-25
1.5,3.5,19.4603174603175,67.0285714285714,0,2007-04-01
1.5,5.5,21.6269841269841,70.9285714285714,0,2007-04-08
0.5,2.5,18.7539682539683,65.7571428571429,0,2007-04-15
0,4,22.2539682539682,72.0571428571428,0,2007-04-22
0,0,22.9206349206349,73.2571428571429,0,2007-04-29
0,3,24.7222222222222,76.5,0,2007-05-06
0,2,26.0379188712522,78.868253968254,0,2007-05-13
0,2,25.5952380952381,78.0714285714286,0,2007-05-20
0,3,25.6507936507937,78.1714285714286,0,2007-05-27
0,1,26.9285714285714,80.4714285714286,0,2007-06-03
0,1,27.984126984127,82.3714285714286,0,2007-06-10
1,2,26.6825396825397,80.0285714285714,0,2007-06-17
0.5,2,29.1587301587302,84.4857142857143,0,2007-06-24
0,3,31.4126984126984,88.5428571428571,0,2007-07-01
0,2,28.8015873015873,83.8428571428571,0,2007-07-08
0,0,28.9603174603175,84.1285714285714,0,2007-07-15
1,0,29.3095238095238,84.7571428571429,0,2007-07-22
0,3,31.531746031746,88.7571428571429,0,2007-07-29
0,2,30.3571428571429,86.6428571428571,0,2007-08-05
0,1,28.8968253968254,84.0142857142857,0,2007-08-12
0,2,29.5476190476191,85.1857142857143,0,2007-08-19
0,2,30.3412698412698,86.6142857142857,0,2007-08-26
0,0,29.9365079365079,85.8857142857143,0,2007-09-02
0,0,29.0476190476191,84.2857142857143,0,2007-09-09
0,0,26.952380952381,80.5142857142857,1,2007-09-16
