Id,latitude,longitude,descRegion,descCountry,descAdmin1,descLocality,descQuality,observationDate,obsdate_amer,reportDate,status,descDisease,descDiseaseType,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,sumVaccinated
130736,29.6357365,32.5065193,Africa,Egypt,As Suways (suez),Administrative unit not available,Unknown,02/03/2009,2-Mar-2009,02/03/2009,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,chicken,",,15,,,,
130749,31.1606255,29.9149265,Africa,Egypt,Al Iskandariyah (alex.),Al Iskandariyah (alex.),Unknown,03/03/2009,3-Mar-2009,10/03/2009,Confirmed,Highly pathogenic avian influenza,H5N1,Human,,,,,,
130773,30.4531307,31.0431461,Africa,Egypt,Al Minufiyah (menoufia),Al Minufiyah (menoufia),Unknown,06/03/2009,6-Mar-2009,11/03/2009,Confirmed,Highly pathogenic avian influenza,H5N1,Human,,,,,,
131184,31.0333,30.4667,Africa,Egypt,Al Buhayrah (behera),Damanhour,Unknown,06/03/2009,6-Mar-2009,02/04/2009,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",,,,,,
130774,31.1103134,30.340374,Africa,Egypt,Al Buhayrah (behera),Al Buhayrah (behera),Unknown,06/03/2009,6-Mar-2009,08/03/2009,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,chicken,",,20,,,,
130769,31.1606255,29.9149265,Africa,Egypt,Al Iskandariyah (alex.),Al Iskandariyah (alex.),Unknown,08/03/2009,8-Mar-2009,10/03/2009,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,chicken,Domestic,duck,",,,,,,
130815,28.1437874,30.3612823,Africa,Egypt,Al Minya (menia),Al Minya (menia),Unknown,10/03/2009,10-Mar-2009,18/03/2009,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",,8,,,,
130816,27.1971741,31.1905727,Africa,Egypt,Asyiut,Asyiut,Unknown,11/03/2009,11-Mar-2009,18/03/2009,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",,45,,,,
130818,29.270586,30.6117611,Africa,Egypt,Al Jizah (giza),Al Jizah (giza),Unknown,11/03/2009,11-Mar-2009,18/03/2009,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",,,,,,
130819,31.0270634,32.0510521,Africa,Egypt,Ash Sharqiyah (sharkia),Ash Sharqiyah (sharkia),Unknown,11/03/2009,11-Mar-2009,18/03/2009,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",,,,,,
130817,30.7911111,30.9980556,Africa,Egypt,Al Gharbiyah (gharbia),Tanta,Unknown,11/03/2009,11-Mar-2009,18/03/2009,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,chicken,",,8,,,,
130820,30.324482,31.2487984,Africa,Egypt,Al Qalyubiyah (kalyoubia),Al Qalyubiyah (kalyoubia),Unknown,12/03/2009,12-Mar-2009,18/03/2009,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,chicken,",,520,,,,
130996,31.1103134,30.340374,Africa,Egypt,Al Buhayrah (behera),Al Buhayrah (behera),Unknown,13/03/2009,13-Mar-2009,18/03/2009,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",,,,,,
131036,27.1971741,31.1905727,Africa,Egypt,Asyiut,Asyiut,Unknown,14/03/2009,14-Mar-2009,23/03/2009,Confirmed,Highly pathogenic avian influenza,H5N1,Human,,,,,,
